Month,monthly_under_loi,total_under_loi,onboarding,total_onboarded
9/30/22,6,81,3,3
10/31/22,7,88,6,9
11/30/22,8,96,10,19
12/31/22,8,104,15,34
1/31/23,9,113,20,54
2/28/23,9,122,20,74
3/31/23,10,132,25,99
4/30/23,11,143,25,124
5/31/23,11,154,30,154
6/30/23,11,165,11,165
7/31/23,12,177,12,177
8/31/23,12,189,12,189
9/30/23,13,202,13,202
10/31/23,13,215,13,215
11/30/23,14,229,14,229
12/31/23,15,244,15,244
1/31/24,15,259,15,259
2/29/24,15,274,15,274
3/31/24,15,289,15,289
4/30/24,16,305,16,305
5/31/24,16,321,16,321
6/30/24,17,338,17,338
7/31/24,17,355,17,355
8/31/24,17,372,17,372
9/30/24,18,390,18,390
10/31/24,18,408,18,408
11/30/24,18,426,18,426
12/31/24,18,444,18,444